Game Date,Location,Neutral Game,Conference Game,Postseason Game,NCAA Tourney Game,Matchup,Home Team,Home Rk,Home Score,Away Team,Away Rk,Away Score,Home W,Home Pt Diff
2020-11-27,Neutral,1,0,0,0,Austin Peay vs. Austin Peay,Austin Peay,82.0,72,Austin Peay,153.0,80,0,-8
2020-11-28,Neutral,1,0,0,0,Omaha vs. Abilene Christian,Abilene Christian,69.0,70,Omaha,128.0,58,1,12
2020-12-05,@ Abilene Christian,0,0,0,0,Tarleton State vs. Abilene Christian,Abilene Christian,136.0,69,Tarleton State,14.0,48,1,21
2020-12-09,@ Texas Tech,0,0,0,0,Abilene Christian vs. Texas Tech,Texas Tech,222.0,51,Abilene Christian,163.0,44,1,7
2020-12-22,@ Arkansas,0,0,0,0,Abilene Christian vs. Arkansas,Arkansas,125.0,85,Abilene Christian,7.0,72,1,13
2021-01-02,@ Abilene Christian,0,1,0,0,Lamar vs. Abilene Christian,Abilene Christian,6.0,83,Lamar,290.0,65,1,18
2021-01-16,@ Abilene Christian,0,1,0,0,Southeastern Louisiana vs. Abilene Christian,Abilene Christian,105.0,76,Southeastern Louisiana,294.0,42,1,34
2021-01-20,@ Sam Houston State,0,1,0,0,Abilene Christian vs. Sam Houston State,Sam Houston State,345.0,64,Abilene Christian,79.0,57,1,7
2021-01-23,@ Abilene Christian,0,1,0,0,Central Arkansas vs. Abilene Christian,Abilene Christian,78.0,93,Central Arkansas,124.0,58,1,35
2021-01-27,@ Abilene Christian,0,1,0,0,Stephen F. Austin vs. Abilene Christian,Abilene Christian,61.0,82,Stephen F. Austin,272.0,62,1,20
2021-01-30,@ Incarnate Word,0,1,0,0,Abilene Christian vs. Incarnate Word,Incarnate Word,234.0,67,Abilene Christian,38.0,75,0,-8
2021-02-06,@ Lamar,0,1,0,0,Abilene Christian vs. Lamar,Lamar,297.0,62,Abilene Christian,17.0,77,0,-15
2021-02-08,@ Texas A&M-Corpus Christi,0,1,0,0,Abilene Christian vs. Texas A&M-Corpus Christi,Texas A&M-Corpus Christi,326.0,69,Abilene Christian,28.0,82,0,-13
2021-02-13,@ Abilene Christian,0,1,0,0,Texas A&M-Corpus Christi vs. Abilene Christian,Abilene Christian,67.0,83,Texas A&M-Corpus Christi,317.0,55,1,28
2021-02-24,@ Abilene Christian,0,1,0,0,Sam Houston State vs. Abilene Christian,Abilene Christian,84.0,86,Sam Houston State,346.0,72,1,14
2021-02-27,@ Central Arkansas,0,1,0,0,Abilene Christian vs. Central Arkansas,Central Arkansas,174.0,84,Abilene Christian,80.0,82,1,2
2021-03-03,@ Stephen F. Austin,0,1,0,0,Abilene Christian vs. Stephen F. Austin,Stephen F. Austin,264.0,61,Abilene Christian,86.0,63,0,-2
2021-03-06,@ Abilene Christian,0,1,0,0,Incarnate Word vs. Abilene Christian,Abilene Christian,88.0,85,Incarnate Word,329.0,60,1,25
2021-03-12,Neutral,1,0,1,0,Lamar vs. Abilene Christian,Abilene Christian,54.0,93,Lamar,179.0,71,1,22
2021-03-13,Neutral,1,0,1,0,Nicholls State vs. Abilene Christian,Abilene Christian,66.0,79,Nicholls State,285.0,45,1,34
2021-03-20,Neutral,1,0,1,1,Abilene Christian vs. Texas,Texas,32.0,52,Abilene Christian,38.0,53,0,-1
2021-03-22,Neutral,1,0,1,1,Abilene Christian vs. UCLA,UCLA,52.0,67,Abilene Christian,46.0,47,1,20
2020-11-29,Neutral,1,0,0,0,Seattle vs. Air Force,Air Force,52.0,45,Seattle,87.0,63,0,-18
2020-12-05,@ Air Force,0,0,0,0,Lamar vs. Air Force,Air Force,115.0,59,Lamar,186.0,44,1,15
2020-12-13,@ Drake,0,0,0,0,Air Force vs. Drake,Drake,232.0,81,Air Force,109.0,53,1,28
2020-12-18,@ Nevada,0,1,0,0,Air Force vs. Nevada,Nevada,136.0,74,Air Force,93.0,57,1,17
2020-12-20,@ Nevada,0,1,0,0,Air Force vs. Nevada,Nevada,247.0,66,Air Force,177.0,68,0,-2
2020-12-31,@ Air Force,0,1,0,0,Utah State vs. Air Force,Air Force,125.0,48,Utah State,190.0,83,0,-35
2021-01-02,@ Air Force,0,1,0,0,Utah State vs. Air Force,Air Force,198.0,53,Utah State,258.0,72,0,-19
2021-01-06,@ Boise State,0,1,0,0,Air Force vs. Boise State,Boise State,3.0,78,Air Force,157.0,59,1,19
2021-01-08,@ Boise State,0,1,0,0,Air Force vs. Boise State,Boise State,86.0,80,Air Force,92.0,69,1,11
2021-01-16,@ Air Force,0,1,0,0,Wyoming vs. Air Force,Air Force,59.0,72,Wyoming,217.0,69,1,3
2021-01-18,@ Air Force,0,1,0,0,Wyoming vs. Air Force,Air Force,113.0,58,Wyoming,264.0,77,0,-19
2021-01-22,@ Air Force,0,1,0,0,San Diego State vs. Air Force,Air Force,114.0,61,San Diego State,15.0,98,0,-37
2021-01-24,@ Air Force,0,1,0,0,San Diego State vs. Air Force,Air Force,151.0,59,San Diego State,10.0,91,0,-32
2021-01-28,@ San Jose State,0,1,0,0,Air Force vs. San Jose State,San Jose State,274.0,59,Air Force,131.0,58,1,1
2021-01-30,@ San Jose State,0,1,0,0,Air Force vs. San Jose State,San Jose State,333.0,75,Air Force,138.0,62,1,13
2021-02-06,@ UNLV,0,1,0,0,Air Force vs. UNLV,UNLV,97.0,68,Air Force,190.0,58,1,10
2021-02-08,@ UNLV,0,1,0,0,Air Force vs. UNLV,UNLV,99.0,69,Air Force,242.0,64,1,5
2021-02-11,@ Air Force,0,1,0,0,Fresno State vs. Air Force,Air Force,238.0,63,Fresno State,186.0,69,0,-6
2021-02-13,@ Air Force,0,1,0,0,Fresno State vs. Air Force,Air Force,284.0,64,Fresno State,245.0,67,0,-3
2021-02-22,@ Air Force,0,1,0,0,New Mexico vs. Air Force,Air Force,322.0,65,New Mexico,336.0,73,0,-8
2021-02-24,@ Air Force,0,1,0,0,New Mexico vs. Air Force,Air Force,328.0,62,New Mexico,334.0,55,1,7
2021-02-27,@ Colorado State,0,1,0,0,Air Force vs. Colorado State,Colorado State,31.0,72,Air Force,313.0,49,1,23
2021-03-01,@ Colorado State,0,1,0,0,Air Force vs. Colorado State,Colorado State,38.0,74,Air Force,312.0,44,1,30
2021-03-10,Neutral,1,0,1,0,Air Force vs. UNLV,UNLV,242.0,80,Air Force,322.0,52,1,28
2020-12-22,@ Akron,0,1,0,0,Ohio vs. Akron,Akron,127.0,90,Ohio,259.0,70,1,20
2021-01-01,@ Akron,0,1,0,0,Kent State vs. Akron,Akron,29.0,66,Kent State,272.0,62,1,4
2021-01-09,@ Eastern Michigan,0,1,0,0,Akron vs. Eastern Michigan,Eastern Michigan,303.0,71,Akron,50.0,59,1,12
2021-01-12,@ Northern Illinois,0,1,0,0,Akron vs. Northern Illinois,Northern Illinois,294.0,67,Akron,79.0,65,1,2
2021-01-16,@ Akron,0,1,0,0,Toledo vs. Akron,Akron,176.0,95,Toledo,76.0,94,1,1
2021-01-19,@ Bowling Green,0,1,0,0,Akron vs. Bowling Green,Bowling Green,65.0,57,Akron,152.0,69,0,-12
2021-01-21,@ Akron,0,1,0,0,Central Michigan vs. Akron,Akron,165.0,81,Central Michigan,281.0,67,1,14
2021-01-23,@ Western Michigan,0,1,0,0,Akron vs. Western Michigan,Western Michigan,251.0,68,Akron,207.0,79,0,-11
2021-01-26,@ Akron,0,1,0,0,Eastern Michigan vs. Akron,Akron,285.0,86,Eastern Michigan,266.0,65,1,21
2021-01-30,@ Akron,0,1,0,0,Ball State vs. Akron,Akron,309.0,74,Ball State,245.0,42,1,32
2021-02-02,@ Toledo,0,1,0,0,Akron vs. Toledo,Toledo,135.0,91,Akron,254.0,76,1,15
2021-02-05,@ Kent State,0,1,0,0,Akron vs. Kent State,Kent State,44.0,61,Akron,226.0,72,0,-11
2021-02-12,@ Miami (OH),0,1,0,0,Akron vs. Miami (OH),Miami (OH),222.0,76,Akron,156.0,83,0,-7
2021-02-16,@ Akron,0,1,0,0,Northern Illinois vs. Akron,Akron,164.0,81,Northern Illinois,308.0,76,1,5
2021-02-19,@ Ball State,0,1,0,0,Akron vs. Ball State,Ball State,130.0,79,Akron,263.0,88,0,-9
2021-02-23,@ Ohio,0,1,0,0,Akron vs. Ohio,Ohio,77.0,90,Akron,203.0,73,1,17
2021-02-26,@ Akron,0,1,0,0,Bowling Green vs. Akron,Akron,251.0,71,Bowling Green,49.0,83,0,-12
2021-03-02,@ Buffalo,0,1,0,0,Akron vs. Buffalo,Buffalo,100.0,80,Akron,236.0,78,1,2
2021-03-11,Neutral,1,0,1,0,Akron vs. Bowling Green,Bowling Green,41.0,67,Akron,93.0,74,0,-7
2021-03-12,Neutral,1,0,1,0,Akron vs. Buffalo,Buffalo,24.0,81,Akron,87.0,74,1,7
2020-11-30,Neutral,1,0,0,0,Stanford vs. Alabama,Alabama,112.0,64,Stanford,222.0,82,0,-18
2020-12-01,Neutral,1,0,0,0,UNLV vs. Alabama,Alabama,34.0,86,UNLV,59.0,74,1,12
2020-12-02,Neutral,1,0,0,0,Alabama vs. Providence,Providence,101.0,71,Alabama,147.0,88,0,-17
2020-12-12,Neutral,1,0,0,0,Alabama vs. Clemson,Clemson,9.0,64,Alabama,192.0,56,1,8
2020-12-15,@ Alabama,0,0,0,0,Furman vs. Alabama,Alabama,157.0,83,Furman,148.0,80,1,3
2020-12-19,@ Alabama,0,0,0,0,Western Kentucky vs. Alabama,Alabama,107.0,71,Western Kentucky,174.0,73,0,-2
