G,Date,Location,Opp,Game Type,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp 2P,Opp 2PA,Opp 2P%,Opp eFG%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp DRB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
1,2021-11-09,@,Utah,REG (Non-Conf),L,56,70,22,57,0.386,4,21,0.19,18,36,0.5,0.421,8,17,0.471,7,20,27,11,9,6,10,24,24,62,0.387,7,23,0.304,17,39,0.436,0.444,15,23,0.652,19,33,52,12,5,3,20,22,Abilene Christian
2,2021-11-12,@,Texas A&M,REG (Non-Conf),L,80,81,32,73,0.438,10,26,0.385,22,47,0.468,0.507,6,13,0.462,14,21,35,22,13,0,16,23,24,54,0.444,9,21,0.429,15,33,0.455,0.528,24,33,0.727,10,29,39,14,8,6,20,15,Abilene Christian
3,2021-11-16,@,UT Arlington,REG (Non-Conf),W,80,71,22,67,0.328,7,20,0.35,15,47,0.319,0.381,29,38,0.763,17,23,40,13,15,0,14,25,24,51,0.471,6,14,0.429,18,37,0.486,0.529,17,24,0.708,7,30,37,16,8,7,26,30,Abilene Christian
4,2021-11-27,,,REG (Non-Conf),W,89,54,34,64,0.531,5,20,0.25,29,44,0.659,0.57,16,24,0.667,11,25,36,24,17,2,14,18,17,43,0.395,7,24,0.292,10,19,0.526,0.477,13,18,0.722,2,20,22,12,6,0,28,22,Abilene Christian
5,2021-11-29,,,REG (Non-Conf),W,88,47,34,67,0.507,6,21,0.286,28,46,0.609,0.552,14,16,0.875,15,18,33,19,18,5,16,21,16,44,0.364,3,20,0.15,13,24,0.542,0.398,12,18,0.667,8,15,23,6,9,1,32,19,Abilene Christian
6,2021-12-01,,,REG (Non-Conf),W,108,65,39,77,0.506,10,27,0.37,29,50,0.58,0.571,20,25,0.8,13,27,40,24,7,2,6,27,18,52,0.346,5,16,0.313,13,36,0.361,0.394,24,31,0.774,8,24,32,10,4,3,18,19,Abilene Christian
7,2021-12-04,,Incarnate Word,REG (Non-Conf),W,98,65,36,66,0.545,12,24,0.5,24,42,0.571,0.636,14,20,0.7,9,20,29,17,10,0,8,21,20,43,0.465,5,20,0.25,15,23,0.652,0.523,20,25,0.8,0,22,22,10,3,2,18,21,Abilene Christian
8,2021-12-11,,Drexel,REG (Non-Conf),W,73,56,26,63,0.413,8,20,0.4,18,43,0.419,0.476,13,20,0.65,8,26,34,12,4,0,14,22,19,57,0.333,5,29,0.172,14,28,0.5,0.377,13,18,0.722,10,29,39,6,7,4,13,20,Abilene Christian
9,2021-12-15,,Cal State Bakersfield,REG (Non-Conf),W,69,59,17,44,0.386,5,17,0.294,12,27,0.444,0.443,30,40,0.75,9,22,31,11,14,3,20,22,22,56,0.393,4,11,0.364,18,45,0.4,0.429,11,20,0.55,12,24,36,6,9,2,24,30,Abilene Christian
10,2021-12-19,,,REG (Non-Conf),W,112,41,42,76,0.553,7,25,0.28,35,51,0.686,0.599,21,24,0.875,14,30,44,17,18,2,9,17,12,46,0.261,6,22,0.273,6,24,0.25,0.326,11,13,0.846,3,18,21,3,6,2,30,19,Abilene Christian
11,2021-12-22,,Longwood,REG (Non-Conf),W,74,58,24,48,0.5,6,19,0.316,18,29,0.621,0.563,20,27,0.741,3,29,32,17,11,2,16,26,18,55,0.327,5,23,0.217,13,32,0.406,0.373,17,30,0.567,10,24,34,8,6,0,21,25,Abilene Christian
12,2021-12-30,@,Utah Valley,REG (Conf),W,80,76,31,63,0.492,10,25,0.4,21,38,0.553,0.571,8,9,0.889,9,16,25,23,12,0,6,15,29,50,0.58,12,23,0.522,17,27,0.63,0.7,6,8,0.75,7,23,30,22,3,8,16,10,Abilene Christian
13,2022-01-01,@,Dixie State,REG (Conf),W,64,50,22,61,0.361,4,20,0.2,18,41,0.439,0.393,16,24,0.667,10,23,33,10,15,3,12,23,14,43,0.326,2,18,0.111,12,25,0.48,0.349,20,27,0.741,8,32,40,10,6,5,27,29,Abilene Christian
14,2022-01-06,,Stephen F. Austin,REG (Conf),L,58,64,21,56,0.375,2,17,0.118,19,39,0.487,0.393,14,18,0.778,3,18,21,11,11,2,15,20,22,43,0.512,10,22,0.455,12,21,0.571,0.628,10,16,0.625,3,31,34,15,3,7,22,21,Abilene Christian
15,2022-01-08,,Sam Houston State,REG (Conf),L,63,65,22,52,0.423,10,22,0.455,12,30,0.4,0.519,9,12,0.75,6,18,24,12,4,0,11,17,23,46,0.5,10,21,0.476,13,25,0.52,0.609,9,16,0.563,7,25,32,9,7,4,15,16,Abilene Christian
16,2022-01-13,@,Grand Canyon,REG (Conf),L,68,95,26,61,0.426,7,21,0.333,19,40,0.475,0.484,9,14,0.643,7,13,20,9,9,1,9,20,34,54,0.63,12,24,0.5,22,30,0.733,0.741,15,21,0.714,7,27,34,18,4,3,15,17,Abilene Christian
17,2022-01-15,@,New Mexico State,REG (Conf),L,63,77,17,50,0.34,5,24,0.208,12,26,0.462,0.39,24,27,0.889,8,16,24,7,6,0,12,29,23,45,0.511,11,23,0.478,12,22,0.545,0.633,20,30,0.667,7,19,26,9,4,2,12,21,Abilene Christian
18,2022-01-20,,Seattle,REG (Conf),L,62,72,21,63,0.333,7,24,0.292,14,39,0.359,0.389,13,16,0.813,9,22,31,7,11,4,14,25,21,47,0.447,5,18,0.278,16,29,0.552,0.5,25,31,0.806,3,28,31,9,8,6,18,18,Abilene Christian
19,2022-01-22,,California Baptist,REG (Conf),W,77,68,27,59,0.458,9,21,0.429,18,38,0.474,0.534,14,22,0.636,8,18,26,17,9,2,15,25,18,48,0.375,6,24,0.25,12,24,0.5,0.438,26,34,0.765,12,26,38,9,10,0,23,23,Abilene Christian
