G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
1,2022-11-07,,Guilford,W,87,64,23,51,0.451,15,34,0.441,26,37,0.703,5,37,15,9,1,12,19,,25,71,0.352,6,26,0.231,8,14,0.571,15,40,9,5,2,14,28,Davidson
2,2022-11-09,@,Wright State,W (2 OT),102,97,35,67,0.522,10,23,0.435,22,36,0.611,9,39,21,4,2,16,15,,39,88,0.443,8,30,0.267,11,15,0.733,13,42,19,10,1,12,23,Davidson
3,2022-11-13,,VMI,W,75,71,27,59,0.458,8,31,0.258,13,17,0.765,6,26,18,5,1,8,14,,26,53,0.491,5,17,0.294,14,19,0.737,4,32,8,7,3,11,19,Davidson
4,2022-11-17,@,College of Charleston,L,66,89,22,51,0.431,4,11,0.364,18,26,0.692,8,26,10,7,2,16,11,,33,72,0.458,12,32,0.375,11,12,0.917,19,42,11,9,2,11,23,Davidson
5,2022-11-18,N,South Carolina,W,69,60,26,58,0.448,9,25,0.36,8,9,0.889,4,28,17,7,1,13,14,,22,56,0.393,6,18,0.333,10,15,0.667,10,33,7,8,7,15,18,Davidson
6,2022-11-20,N,Old Dominion,W,66,61,22,47,0.468,4,15,0.267,18,23,0.783,6,30,14,2,3,14,11,,27,69,0.391,4,14,0.286,3,7,0.429,13,32,13,7,2,8,19,Davidson
7,2022-11-25,,San Francisco,W,89,80,28,46,0.609,5,13,0.385,28,33,0.848,2,20,12,6,1,10,14,,28,60,0.467,11,31,0.355,13,18,0.722,12,29,13,8,5,12,26,Davidson
8,2022-11-29,,Charlotte,L (1 OT),66,68,23,52,0.442,8,24,0.333,12,17,0.706,2,27,17,6,2,9,9,,27,58,0.466,9,25,0.36,5,10,0.5,7,33,14,4,2,9,15,Davidson
9,2022-12-03,@,Delaware,L,67,69,27,64,0.422,6,21,0.286,7,8,0.875,6,28,14,5,1,5,17,,29,59,0.492,6,21,0.286,5,14,0.357,10,38,16,5,9,7,15,Davidson
10,2022-12-07,,Western Carolina,W,72,64,24,55,0.436,8,16,0.5,16,23,0.696,8,31,11,8,0,14,17,,24,55,0.436,5,20,0.25,11,19,0.579,5,27,5,8,2,16,20,Davidson
11,2022-12-17,N,Purdue,L,61,69,24,61,0.393,7,25,0.28,6,11,0.545,4,26,16,4,4,9,21,,19,58,0.328,3,25,0.12,28,37,0.757,17,46,11,5,6,9,11,Davidson
12,2022-12-21,,Northeastern,L,70,73,25,62,0.403,2,12,0.167,18,23,0.783,12,35,9,10,2,12,13,,28,59,0.475,9,19,0.474,8,11,0.727,10,35,18,5,1,16,18,Davidson
13,2022-12-28,@,Fordham,W,57,43,18,52,0.346,3,12,0.25,18,26,0.692,10,50,8,2,1,15,19,,16,63,0.254,3,31,0.097,8,14,0.571,7,31,9,8,9,7,21,Davidson
14,2022-12-31,,Dayton,L,55,69,21,57,0.368,4,21,0.19,9,16,0.563,5,23,9,2,2,3,21,,21,47,0.447,6,13,0.462,21,30,0.7,7,38,10,1,3,7,14,Davidson
15,2023-01-04,,Loyola (IL),W,80,57,29,51,0.569,3,11,0.273,19,22,0.864,6,27,12,9,0,13,18,,22,51,0.431,5,18,0.278,8,13,0.615,8,24,9,3,3,19,21,Davidson
