Aw_Tm,Aw_W,Aw_Wpct,Aw_Poss,Aw_OppPoss,Aw_OffEff,Aw_ShootEff,Aw_DefEff,Aw_OppShootEff,Aw_TmLuckW,Aw_Pts,Aw_OppPts,Aw_FGpct,Aw_3Ppct,Aw_FTpct,Aw_ORB,Aw_TRB,Aw_AST,Aw_STL,Aw_BLK,Aw_TOV,Aw_PF,Aw_OppFGpct,Aw_Opp3Ppct,Aw_OppFTpct,Aw_OppORB,Aw_OppTRB,Aw_OppAST,Aw_OppSTL,Aw_OppBLK,Aw_OppTOV,Aw_OppPF,Aw_TmLuck,Game Date,Hm_Tm,Hm_W,Hm_Wpct,Hm_Poss,Hm_OppPoss,Hm_OffEff,Hm_ShootEff,Hm_DefEff,Hm_OppShootEff,Hm_TmLuckW,Hm_Pts,Hm_OppPts,Hm_FGpct,Hm_3Ppct,Hm_FTpct,Hm_ORB,Hm_TRB,Hm_AST,Hm_STL,Hm_BLK,Hm_TOV,Hm_PF,Hm_OppFGpct,Hm_Opp3Ppct,Hm_OppFTpct,Hm_OppORB,Hm_OppTRB,Hm_OppAST,Hm_OppSTL,Hm_OppBLK,Hm_OppTOV,Hm_OppPF,Hm_TmLuck,Matchup,Home Team,Away Team,Home W,Home Pt Diff
Abilene Christian,1.0,1.0,69.36393939393939,69.1658064516129,92.26696257333957,0.5,85.30226571026147,0.45535714285714285,0.70143262139452,64.0,59.0,0.456,0.278,0.636,7.0,32.0,13.0,4.0,1.0,15.0,18.0,0.456,0.278,0.636,7.0,32.0,13.0,4.0,1.0,15.0,18.0,0.29856737860548,2023-11-10,NC State,1.0,1.0,68.47135135135134,67.75200000000001,105.15346722243275,0.5230769230769231,87.082300153501,0.4339622641509434,0.8900107677279422,72.0,59.0,0.446,0.357,0.571,8.0,36.0,19.0,9.0,5.0,9.0,20.0,0.446,0.357,0.571,8.0,36.0,19.0,9.0,5.0,9.0,20.0,0.10998923227205781,Abilene Christian vs. NC State,NC State,Abilene Christian,1,20
Prairie View,1.0,0.3333333333333333,78.85818181818182,73.65666666666667,87.62287942262226,0.38461538461538464,96.39317554419152,0.49019607843137253,1.17564479750021,65.0,71.0,0.354,0.2,0.714,14.0,34.0,8.0,10.0,2.0,15.0,21.0,0.354,0.2,0.714,14.0,34.0,8.0,10.0,2.0,15.0,21.0,-0.17564479750021,2023-11-14,Abilene Christian,1.0,0.5,66.38391414141414,67.26227822580644,96.60357162462662,0.4473684210526316,106.911847755584,0.48574308755760365,0.7558404141595506,64.0,71.5,0.40349999999999997,0.28600000000000003,0.6699999999999999,10.5,33.0,12.5,4.0,2.0,13.0,18.5,0.40349999999999997,0.28600000000000003,0.6699999999999999,10.5,33.0,12.5,4.0,2.0,13.0,18.5,0.2441595858404494,Prairie View vs. Abilene Christian,Abilene Christian,Prairie View,0,-5
San Jose State,2.0,0.6666666666666666,68.21896551724137,73.552,105.54249753582532,0.53,89.92642383504405,0.43636363636363634,1.815421144582506,72.0,64.0,0.46,0.333,0.75,9.0,29.0,13.0,7.0,5.0,14.0,16.0,0.46,0.333,0.75,9.0,29.0,13.0,7.0,5.0,14.0,16.0,0.18457885541749408,2023-11-17,Abilene Christian,1.0,0.3333333333333333,69.36393939393939,68.3351724137931,100.94018067591368,0.425,115.60664473285833,0.46938775510204084,1.0906483062192307,64.0,79.0,0.383,0.278,0.704,13.0,34.0,12.0,4.0,1.0,14.0,19.0,0.383,0.278,0.704,13.0,34.0,12.0,4.0,1.0,14.0,19.0,-0.0906483062192307,San Jose State vs. Abilene Christian,Abilene Christian,San Jose State,1,6
Fordham,2.0,0.6666666666666666,69.634375,72.24,104.83328097652918,0.4918032786885246,96.6086343966992,0.41935483870967744,1.8612965572807951,73.0,64.0,0.426,0.304,0.56,10.0,37.0,14.0,7.0,5.0,14.0,23.0,0.426,0.304,0.56,10.0,37.0,14.0,7.0,5.0,14.0,23.0,0.13870344271920487,2023-11-19,Abilene Christian,2.0,0.5,68.02348484848486,66.84696120689654,101.5727099226905,0.45402542372881355,116.15143873394013,0.4927583936800527,1.7915967227973233,69.0,75.0,0.40349999999999997,0.28600000000000003,0.7364999999999999,10.0,33.0,12.5,4.0,2.0,12.5,18.5,0.40349999999999997,0.28600000000000003,0.7364999999999999,10.0,33.0,12.5,4.0,2.0,12.5,18.5,0.2084032772026767,Fordham vs. Abilene Christian,Abilene Christian,Fordham,1,14
Abilene Christian,3.0,0.6,66.6830303030303,65.35874999999999,100.94018067591368,0.42727272727272725,115.60664473285833,0.46938775510204084,2.7366141461760667,64.0,71.0,0.4,0.278,0.706,7.0,32.0,12.0,4.0,1.0,11.0,19.0,0.4,0.278,0.706,7.0,32.0,12.0,4.0,1.0,11.0,19.0,0.2633858538239333,2023-11-20,Missouri State,3.0,0.75,62.40909090909091,66.47340909090909,104.0999349397645,0.4853479853479854,96.12699633363565,0.4141865079365079,2.590321715360741,64.5,64.0,0.415,0.34650000000000003,0.6114999999999999,7.5,39.5,13.5,4.5,5.5,12.5,17.5,0.415,0.34650000000000003,0.6114999999999999,7.5,39.5,13.5,4.5,5.5,12.5,17.5,0.4096782846392588,Abilene Christian vs. Missouri State,Missouri State,Abilene Christian,1,18
Abilene Christian,3.0,0.5,68.02348484848486,66.84696120689654,97.37872802349523,0.4551617873651772,116.15143873394013,0.4927583936800527,2.817236801544807,66.5,75.0,0.41200000000000003,0.28600000000000003,0.705,7.0,30.5,12.0,6.0,1.5,11.5,19.0,0.41200000000000003,0.28600000000000003,0.705,7.0,30.5,12.0,6.0,1.5,11.5,19.0,0.18276319845519318,2023-11-29,UT Arlington,3.0,0.5,68.36766774891774,71.51884848484848,113.9098402162703,0.4772727272727273,106.01850468245743,0.47503607503607503,3.1793138103220375,77.5,72.0,0.447,0.31100000000000005,0.7275,14.5,43.5,14.5,4.5,3.0,13.0,17.5,0.447,0.31100000000000005,0.7275,14.5,43.5,14.5,4.5,3.0,13.0,17.5,-0.17931381032203753,Abilene Christian vs. UT Arlington,UT Arlington,Abilene Christian,1,15
Stephen F. Austin,4.0,0.5714285714285714,73.34666666666666,69.79961538461538,115.83858653522692,0.5423728813559322,98.61377692471744,0.4537037037037037,4.420083718174463,86.0,68.0,0.475,0.357,0.75,9.0,30.0,14.0,9.0,4.0,17.0,19.0,0.475,0.357,0.75,9.0,30.0,14.0,9.0,4.0,17.0,19.0,-0.420083718174463,2023-12-02,Abilene Christian,3.0,0.42857142857142855,69.36393939393939,68.3351724137931,98.52146035695488,0.4830508474576271,116.69623273502192,0.5161290322580645,2.935132716397539,69.0,79.0,0.424,0.294,0.704,7.0,29.0,12.0,8.0,1.0,12.0,19.0,0.424,0.294,0.704,7.0,29.0,12.0,8.0,1.0,12.0,19.0,0.06486728360246108,Stephen F. Austin vs. Abilene Christian,Abilene Christian,Stephen F. Austin,0,-5
Northern Arizona,3.0,0.375,70.34290322580645,69.77092592592592,87.48640433776839,0.4651771956856703,99.86734580833482,0.501497454327643,2.8559759464683996,61.5,70.0,0.421,0.2735,0.578,6.0,29.5,13.0,6.0,3.5,12.5,21.0,0.421,0.2735,0.578,6.0,29.5,13.0,6.0,3.5,12.5,21.0,0.14402405353160042,2023-12-06,Abilene Christian,3.0,0.375,70.71472831765935,68.750489432703,96.16936786401584,0.4551617873651772,116.15143873394013,0.5203595980962454,3.269940608457219,70.0,79.0,0.41200000000000003,0.28600000000000003,0.705,6.5,28.0,12.0,9.5,1.5,13.0,20.5,0.41200000000000003,0.28600000000000003,0.705,6.5,28.0,12.0,9.5,1.5,13.0,20.5,-0.2699406084572189,Northern Arizona vs. Abilene Christian,Abilene Christian,Northern Arizona,0,-2
UTEP,6.0,0.6,70.55111111111111,69.46228571428571,106.98231197468652,0.4935671722643553,94.27015594205224,0.4576620121732904,5.918172213336284,73.0,69.0,0.444,0.28600000000000003,0.6755,9.5,33.0,15.5,10.5,3.0,14.5,20.0,0.444,0.28600000000000003,0.6755,9.5,33.0,15.5,10.5,3.0,14.5,20.0,0.08182778666371604,2023-12-17,Abilene Christian,4.0,0.4,72.23442528735632,69.55956989247312,99.73082051643428,0.4551617873651772,109.59615105168812,0.5203595980962454,4.699187672785592,72.5,78.5,0.41200000000000003,0.28600000000000003,0.705,7.0,28.5,12.0,9.5,1.0,13.0,20.5,0.41200000000000003,0.28600000000000003,0.705,7.0,28.5,12.0,9.5,1.0,13.0,20.5,-0.6991876727855919,UTEP vs. Abilene Christian,Abilene Christian,UTEP,1,6
Abilene Christian,5.0,0.45454545454545453,72.40333333333334,69.95333333333333,100.94018067591368,0.4830508474576271,105.7078259489905,0.5161290322580645,5.376508053298252,74.0,79.0,0.424,0.294,0.706,7.0,29.0,12.0,8.0,1.0,14.0,22.0,0.424,0.294,0.706,7.0,29.0,12.0,8.0,1.0,14.0,22.0,-0.3765080532982523,2023-12-21,Arkansas,7.0,0.6363636363636364,70.41961538461538,70.39736842105263,112.32486345286155,0.5583333333333333,104.62763310665117,0.46923076923076923,6.378088320668617,79.0,77.0,0.491,0.389,0.714,6.0,33.0,11.0,4.0,6.0,11.0,21.0,0.491,0.389,0.714,6.0,33.0,11.0,4.0,6.0,11.0,21.0,0.621911679331383,Abilene Christian vs. Arkansas,Arkansas,Abilene Christian,1,10
