Game Date,Location,Matchup,Home Team,Home Score,Away Team,Away Score,Home W,Home Pt Diff
2024-11-09,@ Abilene Christian,Middle Tennessee vs. Abilene Christian,Abilene Christian,56,Middle Tennessee,79,0,-23
2024-11-16,@ Abilene Christian,Texas State vs. Abilene Christian,Abilene Christian,72,Texas State,60,1,12
2024-11-20,@ Kennesaw State,Abilene Christian vs. Kennesaw State,Kennesaw State,84,Abilene Christian,78,1,6
2024-11-25,Neutral,Southern Mississippi vs. Abilene Christian,Abilene Christian,82,Southern Mississippi,74,1,8
2024-11-26,@ Montana State,Abilene Christian vs. Montana State,Montana State,85,Abilene Christian,59,1,26
2024-11-30,@ Omaha,Abilene Christian vs. Omaha,Omaha,55,Abilene Christian,71,0,-16
2024-12-04,@ New Mexico State,Abilene Christian vs. New Mexico State,New Mexico State,70,Abilene Christian,78,0,-8
2024-12-09,@ Baylor,Abilene Christian vs. Baylor,Baylor,88,Abilene Christian,57,1,31
2024-12-21,@ Abilene Christian,Texas Southern vs. Abilene Christian,Abilene Christian,69,Texas Southern,65,1,4
2024-12-28,@ Texas A&M,Abilene Christian vs. Texas A&M,Texas A&M,92,Abilene Christian,54,1,38
2024-12-31,@ Abilene Christian,Stephen F. Austin vs. Abilene Christian,Abilene Christian,57,Stephen F. Austin,62,0,-5
2025-01-04,@ Utah Valley,Abilene Christian vs. Utah Valley,Utah Valley,64,Abilene Christian,53,1,11
2025-01-11,@ Seattle,Abilene Christian vs. Seattle,Seattle,66,Abilene Christian,64,1,2
2025-01-16,@ Grand Canyon,Abilene Christian vs. Grand Canyon,Grand Canyon,88,Abilene Christian,58,1,30
2025-01-18,@ Abilene Christian,California Baptist vs. Abilene Christian,Abilene Christian,54,California Baptist,60,0,-6
2025-01-23,@ Abilene Christian,Tarleton State vs. Abilene Christian,Abilene Christian,67,Tarleton State,56,1,11
2025-01-25,@ Abilene Christian,UT Arlington vs. Abilene Christian,Abilene Christian,76,UT Arlington,79,0,-3
2025-01-30,@ California Baptist,Abilene Christian vs. California Baptist,California Baptist,83,Abilene Christian,60,1,23
2025-02-06,@ Utah Tech,Abilene Christian vs. Utah Tech,Utah Tech,72,Abilene Christian,86,0,-14
2025-02-08,@ Southern Utah,Abilene Christian vs. Southern Utah,Southern Utah,70,Abilene Christian,84,0,-14
2025-02-13,@ Abilene Christian,Seattle vs. Abilene Christian,Abilene Christian,75,Seattle,59,1,16
2025-02-20,@ Abilene Christian,Southern Utah vs. Abilene Christian,Abilene Christian,75,Southern Utah,59,1,16
2025-02-22,@ Abilene Christian,Utah Tech vs. Abilene Christian,Abilene Christian,80,Utah Tech,72,1,8
2025-02-27,@ Tarleton State,Abilene Christian vs. Tarleton State,Tarleton State,67,Abilene Christian,52,1,15
2025-03-01,@ UT Arlington,Abilene Christian vs. UT Arlington,UT Arlington,59,Abilene Christian,70,0,-11
2025-03-06,@ Abilene Christian,Utah Valley vs. Abilene Christian,Abilene Christian,60,Utah Valley,73,0,-13
2025-03-08,@ Abilene Christian,Grand Canyon vs. Abilene Christian,Abilene Christian,82,Grand Canyon,81,1,1
2025-03-13,Neutral,Abilene Christian vs. Seattle,Seattle,69,Abilene Christian,63,1,6
2024-11-04,@ Air Force,North Alabama vs. Air Force,Air Force,57,North Alabama,73,0,-16
2024-11-07,@ Air Force,Jacksonville State vs. Air Force,Air Force,73,Jacksonville State,67,1,6
2024-11-15,@ Air Force,Belmont vs. Air Force,Air Force,71,Belmont,79,0,-8
2024-11-21,@ California,Air Force vs. California,California,78,Air Force,69,1,9
2024-11-24,@ Air Force,Mercyhurst vs. Air Force,Air Force,82,Mercyhurst,48,1,34
2024-11-27,@ Air Force,Sacramento State vs. Air Force,Air Force,61,Sacramento State,63,0,-2
2024-11-30,@ Wright State,Air Force vs. Wright State,Wright State,70,Air Force,57,1,13
2024-12-02,@ Miami (OH),Air Force vs. Miami (OH),Miami (OH),73,Air Force,60,1,13
2024-12-07,Neutral,Stony Brook vs. Air Force,Air Force,69,Stony Brook,61,1,8
2024-12-16,@ Northern Colorado,Air Force vs. Northern Colorado,Northern Colorado,81,Air Force,76,1,5
2024-12-21,@ Boise State,Air Force vs. Boise State,Boise State,77,Air Force,59,1,18
2025-01-04,@ Air Force,Wyoming vs. Air Force,Air Force,65,Wyoming,70,0,-5
2025-01-08,@ San Diego State,Air Force vs. San Diego State,San Diego State,67,Air Force,38,1,29
2025-01-11,@ Air Force,San Jose State vs. Air Force,Air Force,62,San Jose State,69,0,-7
2025-01-14,@ Nevada,Air Force vs. Nevada,Nevada,68,Air Force,62,1,6
2025-01-17,@ Fresno State,Air Force vs. Fresno State,Fresno State,74,Air Force,65,1,9
2025-01-22,@ Air Force,San Diego State vs. Air Force,Air Force,76,San Diego State,77,0,-1
2025-01-25,@ Air Force,Utah State vs. Air Force,Air Force,58,Utah State,87,0,-29
2025-01-28,@ Colorado State,Air Force vs. Colorado State,Colorado State,79,Air Force,58,1,21
2025-02-01,@ San Jose State,Air Force vs. San Jose State,San Jose State,75,Air Force,64,1,11
2025-02-04,@ Air Force,Nevada vs. Air Force,Air Force,60,Nevada,74,0,-14
