Season,Tm Name,Gamelog Name,Ref Name,Conference,Conference Abbr,Hex Code Name,Tm Primary Color,Tm Secondary Color
2021,Abilene Christian,Abilene Christian,abilene-christian,Western Athletic Conference,WAC,Abilene Christian Wildcats,#4F2170,#C5C6C8
2022,Abilene Christian,Abilene Christian,abilene-christian,Western Athletic Conference,WAC,Abilene Christian Wildcats,#4F2170,#C5C6C8
2023,Abilene Christian,Abilene Christian,abilene-christian,Western Athletic Conference,WAC,Abilene Christian Wildcats,#4F2170,#C5C6C8
2024,Abilene Christian,Abilene Christian,abilene-christian,Western Athletic Conference,WAC,Abilene Christian Wildcats,#4F2170,#C5C6C8
2025,Abilene Christian,Abilene Christian,abilene-christian,Western Athletic Conference,WAC,Abilene Christian Wildcats,#4F2170,#C5C6C8
2021,Air Force,Air Force,air-force,Mountain West Conference,MWC,Air Force,#003087,#B1B3B3
2022,Air Force,Air Force,air-force,Mountain West Conference,MWC,Air Force,#003087,#B1B3B3
2023,Air Force,Air Force,air-force,Mountain West Conference,MWC,Air Force,#003087,#B1B3B3
2024,Air Force,Air Force,air-force,Mountain West Conference,MWC,Air Force,#003087,#B1B3B3
2025,Air Force,Air Force,air-force,Mountain West Conference,MWC,Air Force,#003087,#B1B3B3
2021,Akron,Akron,akron,Mid-American Conference,MAC,Akron,#041E42,#A89969
2022,Akron,Akron,akron,Mid-American Conference,MAC,Akron,#041E42,#A89969
2023,Akron,Akron,akron,Mid-American Conference,MAC,Akron,#041E42,#A89969
2024,Akron,Akron,akron,Mid-American Conference,MAC,Akron,#041E42,#A89969
2025,Akron,Akron,akron,Mid-American Conference,MAC,Akron,#041E42,#A89969
2021,Alabama,Alabama,alabama,Southeastern Conference,SEC,Alabama,#9E1B32,#828A8F
2022,Alabama,Alabama,alabama,Southeastern Conference,SEC,Alabama,#9E1B32,#828A8F
2023,Alabama,Alabama,alabama,Southeastern Conference,SEC,Alabama,#9E1B32,#828A8F
2024,Alabama,Alabama,alabama,Southeastern Conference,SEC,Alabama,#9E1B32,#828A8F
2025,Alabama,Alabama,alabama,Southeastern Conference,SEC,Alabama,#9E1B32,#828A8F
2021,Alabama A&M,Alabama A&M,alabama-am,Southwest Athletic Conference,SWAC,Alabama A&M Bulldogs,#660000,#FFF
2022,Alabama A&M,Alabama A&M,alabama-am,Southwest Athletic Conference,SWAC,Alabama A&M Bulldogs,#660000,#FFF
2023,Alabama A&M,Alabama A&M,alabama-am,Southwest Athletic Conference,SWAC,Alabama A&M Bulldogs,#660000,#FFF
2024,Alabama A&M,Alabama A&M,alabama-am,Southwest Athletic Conference,SWAC,Alabama A&M Bulldogs,#660000,#FFF
2025,Alabama A&M,Alabama A&M,alabama-am,Southwest Athletic Conference,SWAC,Alabama A&M Bulldogs,#660000,#FFF
2021,Alabama State,Alabama State,alabama-state,Southwest Athletic Conference,SWAC,Alabama State Hornets,#C99700,#000000
2022,Alabama State,Alabama State,alabama-state,Southwest Athletic Conference,SWAC,Alabama State Hornets,#C99700,#000000
2023,Alabama State,Alabama State,alabama-state,Southwest Athletic Conference,SWAC,Alabama State Hornets,#C99700,#000000
2024,Alabama State,Alabama State,alabama-state,Southwest Athletic Conference,SWAC,Alabama State Hornets,#C99700,#000000
2025,Alabama State,Alabama State,alabama-state,Southwest Athletic Conference,SWAC,Alabama State Hornets,#C99700,#000000
2021,Albany (NY),Albany (NY),albany-ny,America East Conference,AEC,Albany,#461660,#EEB211
2022,Albany (NY),Albany (NY),albany-ny,America East Conference,AEC,Albany,#461660,#EEB211
2023,Albany (NY),Albany (NY),albany-ny,America East Conference,AEC,Albany,#461660,#EEB211
2024,Albany (NY),Albany (NY),albany-ny,America East Conference,AEC,Albany,#461660,#EEB211
2025,Albany (NY),Albany (NY),albany-ny,America East Conference,AEC,Albany,#461660,#EEB211
2021,Alcorn State,Alcorn State,alcorn-state,Southwest Athletic Conference,SWAC,Alcorn State Braves,#4B306A,#CE8E00
2022,Alcorn State,Alcorn State,alcorn-state,Southwest Athletic Conference,SWAC,Alcorn State Braves,#4B306A,#CE8E00
2023,Alcorn State,Alcorn State,alcorn-state,Southwest Athletic Conference,SWAC,Alcorn State Braves,#4B306A,#CE8E00
2024,Alcorn State,Alcorn State,alcorn-state,Southwest Athletic Conference,SWAC,Alcorn State Braves,#4B306A,#CE8E00
2025,Alcorn State,Alcorn State,alcorn-state,Southwest Athletic Conference,SWAC,Alcorn State Braves,#4B306A,#CE8E00
2021,American,American,american,Patriot League,Patriot,American Eagles,#143D8D,#C41230
2022,American,American,american,Patriot League,Patriot,American Eagles,#143D8D,#C41230
2023,American,American,american,Patriot League,Patriot,American Eagles,#143D8D,#C41230
2024,American,American,american,Patriot League,Patriot,American Eagles,#143D8D,#C41230
2025,American,American,american,Patriot League,Patriot,American Eagles,#143D8D,#C41230
2021,Appalachian State,Appalachian State,appalachian-state,Sun Belt Conference,Sun Belt,Appalachian State,#222222,#FFCC00
2022,Appalachian State,Appalachian State,appalachian-state,Sun Belt Conference,Sun Belt,Appalachian State,#222222,#FFCC00
2023,Appalachian State,Appalachian State,appalachian-state,Sun Belt Conference,Sun Belt,Appalachian State,#222222,#FFCC00
2024,Appalachian State,Appalachian State,appalachian-state,Sun Belt Conference,Sun Belt,Appalachian State,#222222,#FFCC00
2025,Appalachian State,Appalachian State,appalachian-state,Sun Belt Conference,Sun Belt,Appalachian State,#222222,#FFCC00
2021,Arizona,Arizona,arizona,Pac 12 Confernce,Pac 12,Arizona,#CC0033,#003366
2022,Arizona,Arizona,arizona,Pac 12 Confernce,Pac 12,Arizona,#CC0033,#003366
2025,Arizona,Arizona,arizona,Big 12,Big 12,Arizona,#CC0033,#003366
2023,Arizona,Arizona,arizona,Pac 12 Confernce,Pac 12,Arizona,#CC0033,#003366
2024,Arizona,Arizona,arizona,Pac 12 Confernce,Pac 12,Arizona,#CC0033,#003366
2021,Arizona State,Arizona State,arizona-state,Pac 12 Confernce,Pac 12,Arizona State,#8C1D40,#FFC627
2022,Arizona State,Arizona State,arizona-state,Pac 12 Confernce,Pac 12,Arizona State,#8C1D40,#FFC627
2025,Arizona State,Arizona State,arizona-state,Big 12,Big 12,Arizona State,#8C1D40,#FFC627
2023,Arizona State,Arizona State,arizona-state,Pac 12 Confernce,Pac 12,Arizona State,#8C1D40,#FFC627
2024,Arizona State,Arizona State,arizona-state,Pac 12 Confernce,Pac 12,Arizona State,#8C1D40,#FFC627
2021,Arkansas,Arkansas,arkansas,Southeastern Conference,SEC,Arkansas,#9D2235,#000000
2022,Arkansas,Arkansas,arkansas,Southeastern Conference,SEC,Arkansas,#9D2235,#000000
2023,Arkansas,Arkansas,arkansas,Southeastern Conference,SEC,Arkansas,#9D2235,#000000
2024,Arkansas,Arkansas,arkansas,Southeastern Conference,SEC,Arkansas,#9D2235,#000000
2025,Arkansas,Arkansas,arkansas,Southeastern Conference,SEC,Arkansas,#9D2235,#000000
2021,Arkansas State,Arkansas State,arkansas-state,Sun Belt Conference,Sun Belt,Arkansas State,#CC092F,#000000
2022,Arkansas State,Arkansas State,arkansas-state,Sun Belt Conference,Sun Belt,Arkansas State,#CC092F,#000000
2023,Arkansas State,Arkansas State,arkansas-state,Sun Belt Conference,Sun Belt,Arkansas State,#CC092F,#000000
2024,Arkansas State,Arkansas State,arkansas-state,Sun Belt Conference,Sun Belt,Arkansas State,#CC092F,#000000
2025,Arkansas State,Arkansas State,arkansas-state,Sun Belt Conference,Sun Belt,Arkansas State,#CC092F,#000000
2021,Arkansas-Pine Bluff,Arkansas-Pine Bluff,arkansas-pine-bluff,Southwest Athletic Conference,SWAC,Arkansas Golden Lions,#EEB310,#E31837
2022,Arkansas-Pine Bluff,Arkansas-Pine Bluff,arkansas-pine-bluff,Southwest Athletic Conference,SWAC,Arkansas Golden Lions,#EEB310,#E31837
2023,Arkansas-Pine Bluff,Arkansas-Pine Bluff,arkansas-pine-bluff,Southwest Athletic Conference,SWAC,Arkansas Golden Lions,#EEB310,#E31837
2024,Arkansas-Pine Bluff,Arkansas-Pine Bluff,arkansas-pine-bluff,Southwest Athletic Conference,SWAC,Arkansas Golden Lions,#EEB310,#E31837
2025,Arkansas-Pine Bluff,Arkansas-Pine Bluff,arkansas-pine-bluff,Southwest Athletic Conference,SWAC,Arkansas Golden Lions,#EEB310,#E31837
2021,Army,Army,army,Patriot League,Patriot,Army Black Knights,#D4BF91,#FFD530
2022,Army,Army,army,Patriot League,Patriot,Army Black Knights,#D4BF91,#FFD530
2023,Army,Army,army,Patriot League,Patriot,Army Black Knights,#D4BF91,#FFD530
2024,Army,Army,army,Patriot League,Patriot,Army Black Knights,#D4BF91,#FFD530
2025,Army,Army,army,Patriot League,Patriot,Army Black Knights,#D4BF91,#FFD530
2021,Auburn,Auburn,auburn,Southeastern Conference,SEC,Auburn,#0C2350,#E87722
2022,Auburn,Auburn,auburn,Southeastern Conference,SEC,Auburn,#0C2350,#E87722
2023,Auburn,Auburn,auburn,Southeastern Conference,SEC,Auburn,#0C2350,#E87722
2024,Auburn,Auburn,auburn,Southeastern Conference,SEC,Auburn,#0C2350,#E87722
2025,Auburn,Auburn,auburn,Southeastern Conference,SEC,Auburn,#0C2350,#E87722
2021,Austin Peay,Austin Peay,austin-peay,Atlantic Sun Conference,ASun,Austin Peay Governors,#C41E3A,#ADAFAA
2022,Austin Peay,Austin Peay,austin-peay,Atlantic Sun Conference,ASun,Austin Peay Governors,#C41E3A,#ADAFAA
2023,Austin Peay,Austin Peay,austin-peay,Atlantic Sun Conference,ASun,Austin Peay Governors,#C41E3A,#ADAFAA
2024,Austin Peay,Austin Peay,austin-peay,Atlantic Sun Conference,ASun,Austin Peay Governors,#C41E3A,#ADAFAA
2025,Austin Peay,Austin Peay,austin-peay,Atlantic Sun Conference,ASun,Austin Peay Governors,#C41E3A,#ADAFAA
2021,Ball State,Ball State,ball-state,Mid-American Conference,MAC,Ball State,#BA0C2F,#000000
2022,Ball State,Ball State,ball-state,Mid-American Conference,MAC,Ball State,#BA0C2F,#000000
2023,Ball State,Ball State,ball-state,Mid-American Conference,MAC,Ball State,#BA0C2F,#000000
2024,Ball State,Ball State,ball-state,Mid-American Conference,MAC,Ball State,#BA0C2F,#000000
2025,Ball State,Ball State,ball-state,Mid-American Conference,MAC,Ball State,#BA0C2F,#000000
2021,Baylor,Baylor,baylor,Big 12,Big 12,Baylor,#1D3C34,#FFB81C
2022,Baylor,Baylor,baylor,Big 12,Big 12,Baylor,#1D3C34,#FFB81C
2023,Baylor,Baylor,baylor,Big 12,Big 12,Baylor,#1D3C34,#FFB81C
2024,Baylor,Baylor,baylor,Big 12,Big 12,Baylor,#1D3C34,#FFB81C
2025,Baylor,Baylor,baylor,Big 12,Big 12,Baylor,#1D3C34,#FFB81C
2021,Bellarmine,Bellarmine,bellarmine,Atlantic Sun Conference,ASun,,#752936,#C8C8C8
2022,Bellarmine,Bellarmine,bellarmine,Atlantic Sun Conference,ASun,,#752936,#C8C8C8
2023,Bellarmine,Bellarmine,bellarmine,Atlantic Sun Conference,ASun,,#752936,#C8C8C8
2024,Bellarmine,Bellarmine,bellarmine,Atlantic Sun Conference,ASun,,#752936,#C8C8C8
2025,Bellarmine,Bellarmine,bellarmine,Atlantic Sun Conference,ASun,,#752936,#C8C8C8
2021,Belmont,Belmont,belmont,Missouri Valley Conference,MVC,Belmont Bruins,#00205B,#C8102E
2022,Belmont,Belmont,belmont,Missouri Valley Conference,MVC,Belmont Bruins,#00205B,#C8102E
2023,Belmont,Belmont,belmont,Missouri Valley Conference,MVC,Belmont Bruins,#00205B,#C8102E
2024,Belmont,Belmont,belmont,Missouri Valley Conference,MVC,Belmont Bruins,#00205B,#C8102E
2025,Belmont,Belmont,belmont,Missouri Valley Conference,MVC,Belmont Bruins,#00205B,#C8102E
2021,Bethune-Cookman,Bethune-Cookman,bethune-cookman,Southwest Athletic Conference,SWAC,B-C Wildcats,#F2A900,#6F263D
2022,Bethune-Cookman,Bethune-Cookman,bethune-cookman,Southwest Athletic Conference,SWAC,B-C Wildcats,#F2A900,#6F263D
2023,Bethune-Cookman,Bethune-Cookman,bethune-cookman,Southwest Athletic Conference,SWAC,B-C Wildcats,#F2A900,#6F263D
2024,Bethune-Cookman,Bethune-Cookman,bethune-cookman,Southwest Athletic Conference,SWAC,B-C Wildcats,#F2A900,#6F263D
