G,Date,Location,Opp,W/L,Tm Score,Opp Score,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF, ,Opp FG,Opp FGA,Opp FG%,Opp 3P,Opp 3PA,Opp 3P%,Opp FT,Opp FTA,Opp FT%,Opp ORB,Opp TRB,Opp AST,Opp STL,Opp BLK,Opp TOV,Opp PF,Tm
1,2023-11-07,,Presbyterian,L,62,68,19,58,0.328,8,33,0.242,16,27,0.593,15,37,8,12,4,13,18,,25,49,0.51,4,12,0.333,14,21,0.667,4,28,12,7,2,14,22,Vanderbilt
2,2023-11-10,,USC Upstate,W,74,67,22,48,0.458,8,22,0.364,22,24,0.917,9,35,11,2,1,14,13,,24,55,0.436,10,20,0.5,9,13,0.692,4,17,12,8,2,5,21,Vanderbilt
3,2023-11-14,,UNC Greensboro,W,74,70,23,57,0.404,11,29,0.379,17,18,0.944,13,39,12,1,3,12,10,,29,70,0.414,7,29,0.241,5,7,0.714,10,28,7,5,3,4,19,Vanderbilt
4,2023-11-17,,Central Arkansas,W,75,71,27,61,0.443,9,30,0.3,12,21,0.571,7,29,9,7,0,9,12,,28,57,0.491,7,13,0.538,8,13,0.615,9,34,11,4,1,14,19,Vanderbilt
5,2023-11-23,N,NC State,L,78,84,25,56,0.446,7,22,0.318,21,30,0.7,8,37,11,9,3,18,17,,30,70,0.429,8,19,0.421,16,21,0.762,10,35,17,12,3,12,22,Vanderbilt
6,2023-11-24,N,Arizona State,L,67,82,24,64,0.375,5,29,0.172,14,20,0.7,10,30,14,6,1,5,20,,29,56,0.518,10,22,0.455,14,17,0.824,6,35,14,5,5,10,20,Vanderbilt
7,2023-11-29,,Boston College,L,62,80,20,55,0.364,6,20,0.3,16,21,0.762,9,29,8,2,2,8,15,,29,56,0.518,10,20,0.5,12,17,0.706,7,31,15,3,5,8,17,Vanderbilt
8,2023-12-02,,Alabama A&M,W,78,59,23,53,0.434,8,25,0.32,24,34,0.706,9,40,16,5,2,9,15,,18,63,0.286,4,21,0.19,19,20,0.95,10,37,8,4,0,12,26,Vanderbilt
9,2023-12-06,,San Francisco,L,60,73,24,56,0.429,9,23,0.391,3,9,0.333,1,17,9,9,2,8,10,,26,51,0.51,13,29,0.448,8,9,0.889,8,36,19,4,3,14,12,Vanderbilt
10,2023-12-16,N,Texas Tech,L,54,76,21,59,0.356,4,20,0.2,8,15,0.533,9,26,11,7,3,9,14,,26,53,0.491,9,16,0.563,15,17,0.882,7,36,22,8,4,12,14,Vanderbilt
11,2023-12-19,,Western Carolina,L,62,63,23,67,0.343,1,14,0.071,15,18,0.833,11,37,5,9,4,7,15,,20,55,0.364,7,19,0.368,16,21,0.762,8,36,8,3,3,13,15,Vanderbilt
12,2023-12-23,@,Memphis,L,75,77,24,56,0.429,10,26,0.385,17,22,0.773,6,34,12,5,7,17,22,,21,55,0.382,9,25,0.36,26,35,0.743,8,32,9,10,5,9,20,Vanderbilt
13,2023-12-30,,Dartmouth,W,69,53,26,62,0.419,9,27,0.333,8,9,0.889,4,32,10,6,1,6,11,,20,53,0.377,5,22,0.227,8,8,1.0,3,33,8,2,1,12,12,Vanderbilt
14,2024-01-06,,Alabama,L,75,78,26,65,0.4,7,26,0.269,16,20,0.8,9,30,6,10,3,8,17,,26,53,0.491,12,30,0.4,14,21,0.667,7,35,13,5,5,16,15,Vanderbilt
15,2024-01-09,@,LSU,L,69,77,27,61,0.443,7,27,0.259,8,12,0.667,7,37,10,7,7,14,15,,27,64,0.422,3,16,0.188,20,23,0.87,6,35,10,11,2,8,12,Vanderbilt
16,2024-01-13,@,Ole Miss,L,56,69,20,53,0.377,4,18,0.222,12,20,0.6,6,26,10,6,5,7,14,,24,59,0.407,10,25,0.4,11,15,0.733,10,38,18,6,6,8,15,Vanderbilt
17,2024-01-17,,Auburn,L,65,80,20,53,0.377,4,18,0.222,21,30,0.7,13,29,4,8,2,11,18,,27,58,0.466,8,25,0.32,18,22,0.818,14,37,13,9,5,10,22,Vanderbilt
18,2024-01-20,@,Mississippi State,L,55,68,20,53,0.377,5,22,0.227,10,18,0.556,6,32,10,5,3,11,20,,25,58,0.431,6,21,0.286,12,22,0.545,11,39,15,7,2,13,18,Vanderbilt
19,2024-01-27,,Tennessee,L,62,75,22,60,0.367,8,26,0.308,10,13,0.769,9,29,8,6,2,6,15,,26,53,0.491,9,22,0.409,14,22,0.636,9,35,14,3,5,7,10,Vanderbilt
20,2024-01-31,@,Auburn,L,54,81,15,56,0.268,4,17,0.235,20,28,0.714,10,33,6,6,5,12,20,,28,63,0.444,10,26,0.385,15,21,0.714,11,41,21,5,7,13,21,Vanderbilt
21,2024-02-03,,Missouri,W,68,61,24,60,0.4,5,22,0.227,15,20,0.75,15,38,8,4,3,7,12,,22,59,0.373,7,26,0.269,10,11,0.909,9,29,14,6,2,7,19,Vanderbilt
22,2024-02-06,,Kentucky,L,77,109,22,62,0.355,11,34,0.324,22,30,0.733,12,25,14,5,5,11,9,,41,74,0.554,15,26,0.577,12,12,1.0,15,44,22,10,3,12,19,Vanderbilt
23,2024-02-10,@,South Carolina,L,60,75,26,54,0.481,5,15,0.333,3,10,0.3,9,22,8,4,1,5,12,,30,58,0.517,9,29,0.31,6,8,0.75,10,28,21,2,3,6,14,Vanderbilt
24,2024-02-13,,Texas A&M,W,74,73,26,60,0.433,7,23,0.304,15,18,0.833,10,21,10,6,5,5,12,,24,47,0.511,8,18,0.444,17,17,1.0,7,26,10,1,4,12,14,Vanderbilt
25,2024-02-17,@,Tennessee,L,53,88,18,54,0.333,7,25,0.28,10,20,0.5,7,34,8,4,3,17,15,,33,69,0.478,14,31,0.452,8,11,0.727,10,34,28,9,4,7,19,Vanderbilt
26,2024-02-21,,Georgia,L,64,76,21,58,0.362,11,32,0.344,11,13,0.846,5,24,12,4,1,5,14,,28,53,0.528,10,28,0.357,10,13,0.769,6,38,13,3,2,10,11,Vanderbilt
27,2024-02-24,@,Florida,L,64,77,20,56,0.357,5,22,0.227,19,29,0.655,9,33,6,8,2,10,17,,28,60,0.467,9,24,0.375,12,19,0.632,8,33,17,5,5,12,18,Vanderbilt
28,2024-02-27,@,Arkansas,W,85,82,29,57,0.509,4,16,0.25,23,32,0.719,7,33,7,6,3,10,23,,23,57,0.404,10,30,0.333,26,31,0.839,8,30,12,4,1,13,23,Vanderbilt
29,2024-03-02,,LSU,L,61,75,20,55,0.364,3,21,0.143,18,25,0.72,8,24,7,4,2,6,19,,25,57,0.439,10,31,0.323,15,19,0.789,14,38,12,1,1,9,19,Vanderbilt
30,2024-03-06,@,Kentucky,L,77,93,31,69,0.449,5,23,0.217,10,13,0.769,8,32,11,4,2,8,13,,37,73,0.507,11,27,0.407,8,9,0.889,12,40,27,4,4,10,18,Vanderbilt
31,2024-03-09,,Florida,W,79,78,27,76,0.355,6,16,0.375,19,20,0.95,16,36,8,10,3,8,13,,30,58,0.517,5,17,0.294,13,14,0.929,6,34,17,7,7,16,15,Vanderbilt
32,2024-03-13,N,Arkansas,L (1 OT),85,90,33,63,0.524,6,15,0.4,13,21,0.619,7,34,11,9,2,12,19,,29,65,0.446,9,25,0.36,23,26,0.885,8,33,14,8,7,10,17,Vanderbilt
1,2023-11-06,,Morehead State,W,105,73,32,57,0.561,10,23,0.435,31,38,0.816,12,36,17,13,4,13,17,,27,63,0.429,7,23,0.304,12,19,0.632,12,27,7,6,3,14,25,Alabama
2,2023-11-10,,Indiana State,W,102,80,33,64,0.516,13,23,0.565,23,27,0.852,13,38,14,6,7,11,18,,27,53,0.509,10,26,0.385,16,26,0.615,4,24,10,8,2,13,24,Alabama
3,2023-11-14,,South Alabama,W,102,46,34,55,0.618,12,23,0.522,22,30,0.733,11,46,21,9,7,10,19,,14,61,0.23,5,29,0.172,13,21,0.619,10,23,6,6,2,11,21,Alabama
4,2023-11-17,,Mercer,W,98,67,35,60,0.583,8,19,0.421,20,29,0.69,9,41,16,6,2,11,18,,26,64,0.406,3,14,0.214,12,23,0.522,8,26,7,6,4,8,24,Alabama
5,2023-11-24,N,Ohio State,L,81,92,26,56,0.464,9,30,0.3,20,26,0.769,7,23,10,5,3,12,26,,27,50,0.54,10,18,0.556,28,30,0.933,6,28,10,9,1,14,24,Alabama
6,2023-11-25,N,Oregon,W,99,91,32,64,0.5,9,24,0.375,26,28,0.929,14,38,15,8,6,16,16,,36,69,0.522,7,20,0.35,12,15,0.8,8,24,20,9,5,12,24,Alabama
7,2023-11-28,,Clemson,L,77,85,23,67,0.343,11,35,0.314,20,26,0.769,12,35,12,7,3,7,15,,32,60,0.533,11,21,0.524,10,15,0.667,8,41,12,4,7,11,22,Alabama
8,2023-12-04,,Arkansas State,W,89,65,28,64,0.438,13,31,0.419,20,24,0.833,10,37,17,10,8,14,17,,22,65,0.338,6,30,0.2,15,21,0.714,11,36,10,5,7,14,19,Alabama
9,2023-12-09,N,Purdue,L,86,92,29,64,0.453,19,46,0.413,9,14,0.643,10,30,20,5,5,13,24,,30,62,0.484,8,18,0.444,24,28,0.857,10,32,22,9,2,9,15,Alabama
10,2023-12-16,@,Creighton,L,82,85,35,75,0.467,4,22,0.182,8,13,0.615,16,35,10,5,1,4,25,,29,52,0.558,6,18,0.333,21,29,0.724,5,28,14,1,5,10,16,Alabama
11,2023-12-20,N,Arizona,L,74,87,22,65,0.338,8,40,0.2,22,26,0.846,13,35,12,10,3,17,25,,28,65,0.431,4,17,0.235,27,37,0.73,14,44,14,13,3,14,20,Alabama
12,2023-12-23,,Eastern Kentucky,W,111,67,40,69,0.58,19,38,0.5,12,20,0.6,9,43,29,8,3,10,10,,24,71,0.338,8,29,0.276,11,17,0.647,11,36,8,7,5,13,17,Alabama
13,2023-12-30,N,Liberty,W,101,56,35,60,0.583,14,28,0.5,17,20,0.85,11,43,22,8,4,8,16,,21,63,0.333,10,35,0.286,4,6,0.667,8,22,15,2,1,9,17,Alabama
